Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,450
design__inferred_latch__count,0
design__instance__count,65423
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,782
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,57
design__max_cap_violation__count__corner:nom_tt_025C_1v80,4
power__internal__total,0.002049743663519621
power__switching__total,0.0009733728948049247
power__leakage__total,2.969615309211804E-7
power__total,0.0030234134756028652
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3400710642675931
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.35510681511533165
timing__hold__ws__corner:nom_tt_025C_1v80,0.3389881804543233
timing__setup__ws__corner:nom_tt_025C_1v80,3.931989067855612
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.338988
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,10.078160
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,8080
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,57
design__max_cap_violation__count__corner:nom_ss_100C_1v60,16
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.39996360133710823
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4262507967238206
timing__hold__ws__corner:nom_ss_100C_1v60,0.9258603035194404
timing__setup__ws__corner:nom_ss_100C_1v60,-2.8000500488553657
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-17.158984052645
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.8000500488553657
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.925860
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,8
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.570413
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,53
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,57
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,3
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3166806073675068
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.32405515299484333
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11902867917096091
timing__setup__ws__corner:nom_ff_n40C_1v95,6.635875148311922
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.119029
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.739754
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,9045
design__max_fanout_violation__count,57
design__max_cap_violation__count,28
clock__skew__worst_hold,-0.3072920616053892
clock__skew__worst_setup,0.31539119431024004
timing__hold__ws,0.11687329212999513
timing__setup__ws,-3.479431952152939
timing__hold__tns,0.0
timing__setup__tns,-22.41282955999973
timing__hold__wns,0
timing__setup__wns,-3.479431952152939
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116873
timing__hold_r2r_vio__count,0
timing__setup_vio__count,23
timing__setup_r2r__ws,0.818387
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,17328
design__instance__area__stdcell,136034
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.449819
design__instance__utilization__stdcell,0.449819
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,2
design__instance__area__class:buffer,10.0096
design__instance__count__class:inverter,174
design__instance__area__class:inverter,653.126
design__instance__count__class:sequential_cell,650
design__instance__area__class:sequential_cell,15797.7
design__instance__count__class:multi_input_combinational_cell,9670
design__instance__area__class:multi_input_combinational_cell,92556.3
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,2
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:fill_cell,48095
design__instance__area__class:fill_cell,166386
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,1662.33
design__instance__displacement__mean,0.096
design__instance__displacement__max,9.62
route__wirelength__estimated,577008
design__violations,0
design__instance__count__class:timing_repair_buffer,2139
design__instance__area__class:timing_repair_buffer,19781.5
flow__warnings__count:RSZ-0020,1
flow__warnings__count:STA-1140,6
design__instance__count__class:clock_buffer,91
design__instance__area__class:clock_buffer,1132.34
design__instance__count__class:clock_inverter,16
design__instance__area__class:clock_inverter,131.376
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,218
global_route__vias,118
global_route__wirelength,994579
flow__warnings__count:GRT-0115,1
flow__warnings__count:GRT-0273,1
flow__warnings__count:GRT-0704,1
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,45
design__instance__count__class:antenna_cell,187
design__instance__area__class:antenna_cell,467.949
route__net,12716
route__net__special,2
route__drc_errors__iter:0,503
route__wirelength__iter:0,696638
route__drc_errors__iter:1,145
route__wirelength__iter:1,696513
route__drc_errors__iter:2,99
route__wirelength__iter:2,696485
route__drc_errors__iter:3,0
route__wirelength__iter:3,696419
route__drc_errors__iter:4,1
route__wirelength__iter:4,696467
route__drc_errors__iter:5,1
route__wirelength__iter:5,696467
route__drc_errors__iter:6,0
route__wirelength__iter:6,696467
route__drc_errors__iter:7,1
route__wirelength__iter:7,696844
route__drc_errors__iter:8,1
route__wirelength__iter:8,696842
route__drc_errors__iter:10,1
route__wirelength__iter:10,696843
route__drc_errors__iter:11,0
route__wirelength__iter:11,696856
route__drc_errors,0
route__wirelength,696419
route__vias,124265
